City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kupang,-10.1667,123.5833,79.38,94,75,6.91,ID,1675317122
84,hithadhoo,-0.6,73.0833,80.94,75,33,13.62,MV,1675317124
85,tura,25.5198,90.2201,79.86,20,11,2.55,IN,1675317125
86,bulgan,48.8125,103.5347,11.8,74,84,0.98,MN,1675317126
87,altamont,42.2068,-121.7372,32.77,79,0,0.0,US,1675317127
88,lompoc,34.6391,-120.4579,44.58,92,0,5.75,US,1675317129
89,manavalakurichi,8.1333,77.3,81.59,68,100,4.99,IN,1675317130
90,port alfred,-33.5906,26.891,72.18,77,8,1.01,ZA,1675317131
91,hobart,-42.8794,147.3294,64.26,79,75,19.57,AU,1675317133
92,namatanai,-3.6667,152.4333,85.06,62,85,6.29,PG,1675317134
93,lima,-12.0432,-77.0282,75.9,77,100,13.8,PE,1675316856
94,borskoye,53.0333,51.7167,9.45,92,21,5.79,RU,1675317136
95,hermanus,-34.4187,19.2345,64.8,76,52,4.74,ZA,1675317137
96,tasiilaq,65.6145,-37.6368,21.36,65,100,29.64,GL,1675317139
97,castro,-24.7911,-50.0119,64.85,95,81,2.48,BR,1675317140
98,cabo san lucas,22.8909,-109.9124,64.51,73,36,8.63,MX,1675317015
99,mastic beach,40.7668,-72.8521,31.77,61,0,5.75,US,1675317143
100,anicuns,-16.4611,-49.9617,70.52,83,100,0.89,BR,1675317144
101,bonfim,3.0833,-59.95,77.85,67,75,10.45,BR,1675317145
102,calabozo,8.9242,-67.4293,73.47,57,2,7.63,VE,1675317146
103,nikolskoye,59.7035,30.7861,29.91,95,100,5.91,RU,1675317147
104,bimbo,4.2567,18.4158,73.33,88,20,4.61,CF,1675317149
105,asmara,15.3333,38.9333,55.24,74,95,5.03,ER,1675317152
106,rio branco,-9.9747,-67.81,75.81,94,40,3.44,BR,1675317109
107,ancud,-41.8697,-73.8203,50.5,87,44,4.34,CL,1675317154
108,cidreira,-30.1811,-50.2056,74.14,93,5,5.23,BR,1675317154
